avg_box: 0.000237820870619 , has_month: False , has_week: False , has_year: False , heigth: 0.107843137255 , label: 0 , mid_box: 8.35561497326e-05 , num_alpha: 0 , num_box: 11 , num_int: 0 , num_special: 0 , var_box: 1.23425107044e-07 , width: 0.19696969697 
avg_box: 8.81539484481e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0490196078431 , label: 0 , mid_box: 7.42721330957e-05 , num_alpha: 31 , num_box: 35 , num_int: 8 , num_special: 11 , var_box: 3.56284581669e-09 , width: 0.146464646465 
avg_box: 0.000110135432299 , has_month: False , has_week: False , has_year: True , heigth: 0.101307189542 , label: 0 , mid_box: 8.35561497326e-05 , num_alpha: 187 , num_box: 201 , num_int: 4 , num_special: 53 , var_box: 8.67045856208e-09 , width: 0.550505050505 
avg_box: 0.000211469267842 , has_month: False , has_week: False , has_year: False , heigth: 0.0555555555556 , label: 0 , mid_box: 0.000169691192976 , num_alpha: 25 , num_box: 30 , num_int: 2 , num_special: 8 , var_box: 2.43618917428e-08 , width: 0.186868686869 
avg_box: 0.000152567340067 , has_month: False , has_week: False , has_year: False , heigth: 0.0359477124183 , label: 0 , mid_box: 0.000136165577342 , num_alpha: 13 , num_box: 10 , num_int: 0 , num_special: 6 , var_box: 6.71825212424e-09 , width: 0.136363636364 
avg_box: 0.000160407176339 , has_month: False , has_week: False , has_year: False , heigth: 0.0359477124183 , label: 0 , mid_box: 0.000145965372681 , num_alpha: 16 , num_box: 14 , num_int: 0 , num_special: 6 , var_box: 9.30789011203e-09 , width: 0.171717171717 
avg_box: 0.000242322212019 , has_month: False , has_week: False , has_year: False , heigth: 0.0457516339869 , label: 0 , mid_box: 0.000144418036575 , num_alpha: 0 , num_box: 11 , num_int: 0 , num_special: 0 , var_box: 9.45364544723e-08 , width: 0.176767676768 
avg_box: 0.00020094738232 , has_month: False , has_week: True , has_year: False , heigth: 0.0326797385621 , label: 0 , mid_box: 0.00023106885852 , num_alpha: 13 , num_box: 15 , num_int: 0 , num_special: 2 , var_box: 7.69397422226e-09 , width: 0.252525252525 
avg_box: 0.000200858963114 , has_month: False , has_week: False , has_year: False , heigth: 0.0457516339869 , label: 0 , mid_box: 3.71360665478e-05 , num_alpha: 0 , num_box: 7 , num_int: 0 , num_special: 0 , var_box: 6.35823503321e-08 , width: 0.146464646465 
avg_box: 0.000176396316102 , has_month: False , has_week: False , has_year: False , heigth: 0.0326797385621 , label: 0 , mid_box: 0.000201153693801 , num_alpha: 10 , num_box: 14 , num_int: 0 , num_special: 6 , var_box: 5.41297900301e-09 , width: 0.217171717172 
avg_box: 0.000415201855153 , has_month: False , has_week: False , has_year: False , heigth: 0.0424836601307 , label: 0 , mid_box: 0.00032906681191 , num_alpha: 0 , num_box: 8 , num_int: 0 , num_special: 0 , var_box: 1.05038098994e-07 , width: 0.136363636364 
