avg_box: 0.000154132303377 , has_month: False , has_week: True , has_year: False , heigth: 0.0389072847682 , label: 0 , mid_box: 0.000150336522523 , num_alpha: 34 , num_box: 49 , num_int: 2 , num_special: 10 , var_box: 4.54966766304e-09 , width: 0.729918509895 
avg_box: 0.00013424902244 , has_month: False , has_week: False , has_year: False , heigth: 0.0422185430464 , label: 0 , mid_box: 9.63695657202e-05 , num_alpha: 27 , num_box: 62 , num_int: 13 , num_special: 15 , var_box: 1.07664549051e-08 , width: 0.703143189756 
avg_box: 8.0927760013e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0811258278146 , label: 0 , mid_box: 7.70956525762e-05 , num_alpha: 128 , num_box: 170 , num_int: 7 , num_special: 53 , var_box: 1.14713031155e-09 , width: 0.436554132712 
avg_box: 7.42303328681e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0620860927152 , label: 0 , mid_box: 6.93860873185e-05 , num_alpha: 137 , num_box: 187 , num_int: 1 , num_special: 56 , var_box: 6.3463558117e-10 , width: 0.762514551804 
avg_box: 0.000156044566032 , has_month: False , has_week: False , has_year: False , heigth: 0.0355960264901 , label: 0 , mid_box: 9.63695657202e-05 , num_alpha: 9 , num_box: 13 , num_int: 0 , num_special: 1 , var_box: 1.57974114721e-08 , width: 0.169965075669 
avg_box: 0.000102452894556 , has_month: False , has_week: False , has_year: False , heigth: 0.0620860927152 , label: 0 , mid_box: 6.93860873185e-05 , num_alpha: 174 , num_box: 176 , num_int: 2 , num_special: 47 , var_box: 5.4833310115e-09 , width: 0.703143189756 
avg_box: 0.000155321794289 , has_month: False , has_week: False , has_year: False , heigth: 0.0389072847682 , label: 0 , mid_box: 0.000175392609611 , num_alpha: 35 , num_box: 52 , num_int: 0 , num_special: 10 , var_box: 5.12003595847e-09 , width: 0.703143189756 
avg_box: 0.000444552806667 , has_month: False , has_week: False , has_year: False , heigth: 0.0488410596026 , label: 0 , mid_box: 0.000451973263228 , num_alpha: 4 , num_box: 20 , num_int: 8 , num_special: 7 , var_box: 1.01442083154e-08 , width: 0.427240977881 
avg_box: 0.000807576960735 , has_month: False , has_week: False , has_year: False , heigth: 0.0488410596026 , label: 0 , mid_box: 0.000339220871335 , num_alpha: 0 , num_box: 4 , num_int: 0 , num_special: 0 , var_box: 9.28960071226e-07 , width: 0.298020954598 
avg_box: 0.000704252026359 , has_month: True , has_week: False , has_year: True , heigth: 0.0554635761589 , label: 2 , mid_box: 0.000563761959463 , num_alpha: 9 , num_box: 23 , num_int: 6 , num_special: 5 , var_box: 1.26232347672e-07 , width: 0.569266589057 
avg_box: 0.000982259478809 , has_month: False , has_week: False , has_year: False , heigth: 0.0620860927152 , label: 0 , mid_box: 0.000366204349737 , num_alpha: 3 , num_box: 19 , num_int: 1 , num_special: 7 , var_box: 1.21994765899e-06 , width: 0.569266589057 
