avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0436363636364 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.213114754098 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0472727272727 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.415300546448 
avg_box: 0.00162940884252 , has_month: False , has_week: False , has_year: False , heigth: 0.0472727272727 , label: 0 , mid_box: 0.00158966716344 , num_alpha: 0 , num_box: 5 , num_int: 0 , num_special: 0 , var_box: 8.08653340964e-08 , width: 0.72131147541 
avg_box: 0.00276867030965 , has_month: False , has_week: False , has_year: False , heigth: 0.0690909090909 , label: 0 , mid_box: 0.00151018380527 , num_alpha: 0 , num_box: 15 , num_int: 0 , num_special: 0 , var_box: 7.52103763578e-06 , width: 0.885245901639 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0472727272727 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.142076502732 
avg_box: 0.00103328365623 , has_month: False , has_week: False , has_year: False , heigth: 0.0472727272727 , label: 0 , mid_box: 0.00103328365623 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.16393442623 
avg_box: 0.000745156482861 , has_month: False , has_week: False , has_year: False , heigth: 0.04 , label: 0 , mid_box: 0.000745156482861 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 2.46781415089e-09 , width: 0.234972677596 
avg_box: 0.00124840709303 , has_month: False , has_week: False , has_year: False , heigth: 0.0945454545455 , label: 0 , mid_box: 0.00139095876801 , num_alpha: 0 , num_box: 23 , num_int: 0 , num_special: 0 , var_box: 1.89516184247e-07 , width: 0.956284153005 
avg_box: 0.000879284649776 , has_month: False , has_week: False , has_year: False , heigth: 0.0472727272727 , label: 0 , mid_box: 0.000884252359662 , num_alpha: 0 , num_box: 4 , num_int: 0 , num_special: 0 , var_box: 3.23283653767e-09 , width: 0.213114754098 
avg_box: 0.000794833581719 , has_month: False , has_week: False , has_year: False , heigth: 0.0472727272727 , label: 0 , mid_box: 0.000794833581719 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.125683060109 
avg_box: 0.00116575591985 , has_month: False , has_week: False , has_year: False , heigth: 0.0472727272727 , label: 0 , mid_box: 0.00120218579235 , num_alpha: 0 , num_box: 6 , num_int: 0 , num_special: 0 , var_box: 8.62967188409e-08 , width: 0.262295081967 
avg_box: 0.00105725761899 , has_month: False , has_week: False , has_year: False , heigth: 0.643636363636 , label: 1 , mid_box: 0.000794833581719 , num_alpha: 0 , num_box: 339 , num_int: 0 , num_special: 0 , var_box: 9.13147673295e-06 , width: 1.00546448087 
avg_box: 0.000715350223547 , has_month: False , has_week: False , has_year: False , heigth: 0.0472727272727 , label: 0 , mid_box: 0.000715350223547 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.147540983607 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0618181818182 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.191256830601 
