avg_box: 0.000672587823875 , has_month: False , has_week: False , has_year: False , heigth: 0.0643776824034 , label: 0 , mid_box: 0.000672587823875 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 3.71694155125e-07 , width: 0.125925925926 
avg_box: 0.000806983962981 , has_month: False , has_week: False , has_year: False , heigth: 0.0679542203147 , label: 0 , mid_box: 0.000333479044137 , num_alpha: 0 , num_box: 12 , num_int: 0 , num_special: 0 , var_box: 1.17672739833e-06 , width: 0.274074074074 
avg_box: 0.000816733139695 , has_month: False , has_week: False , has_year: False , heigth: 0.0708154506438 , label: 0 , mid_box: 0.000370237906003 , num_alpha: 0 , num_box: 22 , num_int: 0 , num_special: 0 , var_box: 1.1376745415e-06 , width: 0.346296296296 
avg_box: 5.16611031632e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0579399141631 , label: 0 , mid_box: 5.00052985747e-05 , num_alpha: 0 , num_box: 4 , num_int: 0 , num_special: 0 , var_box: 4.63455080755e-10 , width: 0.100925925926 
avg_box: 4.73008177467e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0615164520744 , label: 0 , mid_box: 4.76871721507e-05 , num_alpha: 0 , num_box: 12 , num_int: 0 , num_special: 0 , var_box: 3.21944334671e-10 , width: 0.130555555556 
avg_box: 0.000356576160931 , has_month: True , has_week: False , has_year: True , heigth: 0.316165951359 , label: 0 , mid_box: 8.74264822763e-05 , num_alpha: 71 , num_box: 244 , num_int: 9 , num_special: 25 , var_box: 1.87654494858e-06 , width: 1.00648148148 
avg_box: 0.000132018692579 , has_month: False , has_week: False , has_year: False , heigth: 0.139484978541 , label: 0 , mid_box: 4.76871721507e-05 , num_alpha: 0 , num_box: 107 , num_int: 0 , num_special: 0 , var_box: 5.90761996046e-08 , width: 0.397222222222 
avg_box: 0.000161647922959 , has_month: False , has_week: False , has_year: False , heigth: 0.0708154506438 , label: 0 , mid_box: 3.77523446193e-05 , num_alpha: 0 , num_box: 16 , num_int: 0 , num_special: 0 , var_box: 1.18737963132e-07 , width: 0.180555555556 
avg_box: 0.000465446669846 , has_month: False , has_week: False , has_year: False , heigth: 0.0779685264664 , label: 0 , mid_box: 4.23885974673e-05 , num_alpha: 0 , num_box: 12 , num_int: 0 , num_special: 0 , var_box: 5.65849929842e-07 , width: 0.168518518519 
avg_box: 0.000743882038589 , has_month: False , has_week: False , has_year: False , heigth: 0.0972818311874 , label: 0 , mid_box: 0.000533831399354 , num_alpha: 0 , num_box: 7 , num_int: 0 , num_special: 0 , var_box: 5.76883971637e-07 , width: 0.168518518519 
avg_box: 0.00010935669416 , has_month: False , has_week: False , has_year: False , heigth: 0.0779685264664 , label: 0 , mid_box: 3.5765379113e-05 , num_alpha: 0 , num_box: 9 , num_int: 0 , num_special: 0 , var_box: 4.03919192609e-08 , width: 0.150925925926 
avg_box: 0.000356024183856 , has_month: True , has_week: False , has_year: True , heigth: 0.489985693848 , label: 0 , mid_box: 4.76871721507e-05 , num_alpha: 73 , num_box: 493 , num_int: 8 , num_special: 22 , var_box: 5.03806954993e-06 , width: 0.989814814815 
