avg_box: 0.000555555555556 , has_month: False , has_week: False , has_year: False , heigth: 0.0516666666667 , label: 0 , mid_box: 0.000555555555556 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.109941520468 
avg_box: 0.000276543434711 , has_month: False , has_week: True , has_year: False , heigth: 0.375833333333 , label: 0 , mid_box: 0.000131578947368 , num_alpha: 234 , num_box: 289 , num_int: 8 , num_special: 72 , var_box: 8.54100240915e-07 , width: 0.948538011696 
avg_box: 0.000413645224172 , has_month: False , has_week: False , has_year: False , heigth: 0.0716666666667 , label: 0 , mid_box: 0.000136452241715 , num_alpha: 12 , num_box: 15 , num_int: 1 , num_special: 10 , var_box: 5.54960601996e-07 , width: 0.210526315789 
avg_box: 0.000262266778056 , has_month: False , has_week: False , has_year: False , heigth: 0.0783333333333 , label: 0 , mid_box: 0.000122807017544 , num_alpha: 29 , num_box: 35 , num_int: 1 , num_special: 9 , var_box: 4.7094020363e-07 , width: 0.265497076023 
avg_box: 0.000171232174002 , has_month: False , has_week: False , has_year: False , heigth: 0.0883333333333 , label: 0 , mid_box: 0.000139376218324 , num_alpha: 21 , num_box: 19 , num_int: 1 , num_special: 14 , var_box: 7.98346836079e-09 , width: 0.343859649123 
avg_box: 0.000579001516136 , has_month: False , has_week: False , has_year: True , heigth: 0.0583333333333 , label: 0 , mid_box: 0.00080701754386 , num_alpha: 7 , num_box: 18 , num_int: 5 , num_special: 4 , var_box: 1.64636863281e-07 , width: 0.499415204678 
avg_box: 0.000670753945796 , has_month: False , has_week: False , has_year: False , heigth: 0.0616666666667 , label: 0 , mid_box: 0.000538011695906 , num_alpha: 0 , num_box: 31 , num_int: 0 , num_special: 0 , var_box: 3.46696659619e-07 , width: 0.357894736842 
avg_box: 0.0042660653517 , has_month: False , has_week: False , has_year: False , heigth: 0.296666666667 , label: 1 , mid_box: 0.00115789473684 , num_alpha: 6 , num_box: 59 , num_int: 0 , num_special: 1 , var_box: 7.62669051965e-05 , width: 0.93918128655 
avg_box: 0.000490643274854 , has_month: False , has_week: False , has_year: False , heigth: 0.0783333333333 , label: 0 , mid_box: 0.000271929824561 , num_alpha: 0 , num_box: 5 , num_int: 0 , num_special: 0 , var_box: 1.20440325418e-07 , width: 0.19649122807 
avg_box: 0.00101760119252 , has_month: False , has_week: False , has_year: False , heigth: 0.136666666667 , label: 0 , mid_box: 0.000185185185185 , num_alpha: 0 , num_box: 17 , num_int: 0 , num_special: 0 , var_box: 5.54342026144e-06 , width: 0.343859649123 
avg_box: 0.00107358674464 , has_month: False , has_week: False , has_year: False , heigth: 0.156666666667 , label: 0 , mid_box: 0.000497076023392 , num_alpha: 0 , num_box: 18 , num_int: 0 , num_special: 0 , var_box: 1.38727039469e-06 , width: 0.425730994152 
