avg_box: 9.34009753028e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0355828220859 , label: 0 , mid_box: 9.58588957055e-05 , num_alpha: 13 , num_box: 13 , num_int: 0 , num_special: 9 , var_box: 2.88213753896e-10 , width: 0.262152777778 
avg_box: 0.000155717450579 , has_month: False , has_week: False , has_year: False , heigth: 0.0576687116564 , label: 0 , mid_box: 0.000115030674847 , num_alpha: 61 , num_box: 50 , num_int: 8 , num_special: 19 , var_box: 1.16663989762e-08 , width: 0.590277777778 
avg_box: 0.000135800102249 , has_month: False , has_week: False , has_year: False , heigth: 0.038036809816 , label: 0 , mid_box: 0.000110770279482 , num_alpha: 6 , num_box: 32 , num_int: 3 , num_special: 16 , var_box: 4.55419148122e-09 , width: 0.467013888889 
avg_box: 0.000157756354075 , has_month: False , has_week: False , has_year: False , heigth: 0.038036809816 , label: 0 , mid_box: 0.000119291070211 , num_alpha: 0 , num_box: 35 , num_int: 0 , num_special: 0 , var_box: 8.49515711649e-09 , width: 0.447916666667 
avg_box: 0.000132319235747 , has_month: True , has_week: True , has_year: True , heigth: 0.143558282209 , label: 0 , mid_box: 0.000127811860941 , num_alpha: 53 , num_box: 69 , num_int: 17 , num_special: 35 , var_box: 2.48175514399e-09 , width: 0.342013888889 
avg_box: 0.000125225192326 , has_month: False , has_week: False , has_year: False , heigth: 0.0515337423313 , label: 0 , mid_box: 0.000122486366735 , num_alpha: 16 , num_box: 14 , num_int: 2 , num_special: 16 , var_box: 1.70889980862e-09 , width: 0.178819444444 
avg_box: 0.000132556392142 , has_month: False , has_week: False , has_year: False , heigth: 0.165644171779 , label: 0 , mid_box: 0.000106509884117 , num_alpha: 0 , num_box: 22 , num_int: 0 , num_special: 0 , var_box: 5.7340278831e-09 , width: 0.28125 
avg_box: 0.000787564514558 , has_month: False , has_week: False , has_year: False , heigth: 0.120245398773 , label: 0 , mid_box: 0.00024497273347 , num_alpha: 0 , num_box: 21 , num_int: 0 , num_special: 0 , var_box: 2.48004772526e-06 , width: 0.336805555556 
avg_box: 0.000356250202876 , has_month: False , has_week: False , has_year: False , heigth: 0.116564417178 , label: 0 , mid_box: 0.000204498977505 , num_alpha: 0 , num_box: 21 , num_int: 0 , num_special: 0 , var_box: 9.69887955628e-08 , width: 0.425347222222 
avg_box: 0.000284381390593 , has_month: False , has_week: False , has_year: False , heigth: 0.0773006134969 , label: 0 , mid_box: 0.00020875937287 , num_alpha: 0 , num_box: 4 , num_int: 0 , num_special: 0 , var_box: 5.70246713629e-08 , width: 0.142361111111 
avg_box: 0.000459723287321 , has_month: False , has_week: False , has_year: False , heigth: 0.159509202454 , label: 0 , mid_box: 0.00013633265167 , num_alpha: 0 , num_box: 16 , num_int: 0 , num_special: 0 , var_box: 3.08007881854e-07 , width: 0.40625 
avg_box: 0.00015443933197 , has_month: False , has_week: False , has_year: False , heigth: 0.0478527607362 , label: 0 , mid_box: 0.000117160872529 , num_alpha: 0 , num_box: 22 , num_int: 0 , num_special: 0 , var_box: 8.32541617782e-09 , width: 0.331597222222 
avg_box: 0.000142517096554 , has_month: False , has_week: False , has_year: False , heigth: 0.038036809816 , label: 0 , mid_box: 0.000110770279482 , num_alpha: 0 , num_box: 31 , num_int: 0 , num_special: 0 , var_box: 7.82639170882e-09 , width: 0.414930555556 
avg_box: 0.000138931492843 , has_month: False , has_week: False , has_year: False , heigth: 0.041717791411 , label: 0 , mid_box: 0.000115030674847 , num_alpha: 53 , num_box: 50 , num_int: 0 , num_special: 8 , var_box: 5.66242882207e-09 , width: 0.697916666667 
avg_box: 0.000268404907975 , has_month: False , has_week: True , has_year: False , heigth: 0.0453987730061 , label: 0 , mid_box: 0.000234321745058 , num_alpha: 19 , num_box: 27 , num_int: 0 , num_special: 6 , var_box: 2.41592754201e-08 , width: 0.493055555556 
avg_box: 0.000475034083163 , has_month: False , has_week: False , has_year: False , heigth: 0.0613496932515 , label: 1 , mid_box: 0.000551721199727 , num_alpha: 30 , num_box: 42 , num_int: 0 , num_special: 4 , var_box: 6.5297461518e-08 , width: 0.934027777778 
