avg_box: 0.00010457906381 , has_month: False , has_week: False , has_year: False , heigth: 0.04875 , label: 0 , mid_box: 8.90486725664e-05 , num_alpha: 5 , num_box: 38 , num_int: 15 , num_special: 33 , var_box: 2.93769175467e-09 , width: 0.189380530973 
avg_box: 7.97399398898e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.04875 , label: 0 , mid_box: 7.30088495575e-05 , num_alpha: 27 , num_box: 53 , num_int: 17 , num_special: 74 , var_box: 1.28169545911e-09 , width: 0.245132743363 
avg_box: 7.67103471749e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0325 , label: 0 , mid_box: 6.63716814159e-05 , num_alpha: 13 , num_box: 13 , num_int: 3 , num_special: 16 , var_box: 1.83702419205e-09 , width: 0.133628318584 
avg_box: 0.000107079646018 , has_month: False , has_week: False , has_year: False , heigth: 0.039375 , label: 0 , mid_box: 8.51769911504e-05 , num_alpha: 0 , num_box: 25 , num_int: 0 , num_special: 0 , var_box: 3.03672468478e-09 , width: 0.245132743363 
avg_box: 7.99586379377e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.04875 , label: 0 , mid_box: 6.69247787611e-05 , num_alpha: 29 , num_box: 46 , num_int: 16 , num_special: 55 , var_box: 2.00731417735e-09 , width: 0.180530973451 
avg_box: 6.89961825438e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.051875 , label: 0 , mid_box: 7.19026548673e-05 , num_alpha: 15 , num_box: 51 , num_int: 9 , num_special: 75 , var_box: 1.32628485887e-09 , width: 0.180530973451 
avg_box: 0.000244469026549 , has_month: False , has_week: False , has_year: False , heigth: 0.06875 , label: 0 , mid_box: 5.30973451327e-05 , num_alpha: 0 , num_box: 5 , num_int: 0 , num_special: 0 , var_box: 1.67272911935e-07 , width: 0.170796460177 
avg_box: 9.06157817109e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.039375 , label: 0 , mid_box: 3.7610619469e-05 , num_alpha: 0 , num_box: 18 , num_int: 0 , num_special: 0 , var_box: 3.37236847079e-08 , width: 0.110619469027 
avg_box: 0.000573008849558 , has_month: False , has_week: False , has_year: False , heigth: 0.055625 , label: 0 , mid_box: 0.000573008849558 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 2.87836997807e-07 , width: 0.143362831858 
avg_box: 9.15376106195e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.051875 , label: 0 , mid_box: 9.84513274336e-05 , num_alpha: 38 , num_box: 46 , num_int: 0 , num_special: 12 , var_box: 1.7432827881e-09 , width: 0.249557522124 
avg_box: 2.65486725664e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.051875 , label: 0 , mid_box: 2.65486725664e-05 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.157522123894 
avg_box: 0.00066592920354 , has_month: False , has_week: False , has_year: False , heigth: 0.061875 , label: 0 , mid_box: 0.000862831858407 , num_alpha: 5 , num_box: 14 , num_int: 2 , num_special: 15 , var_box: 1.13885085811e-07 , width: 0.378761061947 
avg_box: 0.00114988938053 , has_month: False , has_week: False , has_year: False , heigth: 0.055625 , label: 0 , mid_box: 0.00114988938053 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.120353982301 
avg_box: 7.92329449983e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.071875 , label: 0 , mid_box: 6.19469026549e-05 , num_alpha: 23 , num_box: 79 , num_int: 10 , num_special: 51 , var_box: 3.92470543674e-09 , width: 0.235398230088 
avg_box: 5.54373723622e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.051875 , label: 0 , mid_box: 5.75221238938e-05 , num_alpha: 19 , num_box: 52 , num_int: 7 , num_special: 41 , var_box: 9.90153617524e-10 , width: 0.138938053097 
avg_box: 7.17051201011e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.051875 , label: 0 , mid_box: 6.47123893805e-05 , num_alpha: 20 , num_box: 42 , num_int: 10 , num_special: 32 , var_box: 1.35187231243e-09 , width: 0.193805309735 
avg_box: 0.00056187148029 , has_month: False , has_week: False , has_year: False , heigth: 0.078125 , label: 2 , mid_box: 8.98783185841e-05 , num_alpha: 9 , num_box: 132 , num_int: 2 , num_special: 16 , var_box: 2.55040098525e-06 , width: 0.887610619469 
avg_box: 0.000268295592573 , has_month: False , has_week: False , has_year: False , heigth: 0.051875 , label: 0 , mid_box: 9.95575221239e-05 , num_alpha: 2 , num_box: 51 , num_int: 0 , num_special: 2 , var_box: 1.72560143496e-07 , width: 0.26814159292 
avg_box: 0.000882146017699 , has_month: False , has_week: False , has_year: False , heigth: 0.06875 , label: 1 , mid_box: 0.000902654867257 , num_alpha: 23 , num_box: 25 , num_int: 0 , num_special: 2 , var_box: 1.62430689561e-07 , width: 0.670796460177 
avg_box: 0.000490179149579 , has_month: False , has_week: False , has_year: False , heigth: 0.06875 , label: 1 , mid_box: 7.74336283186e-05 , num_alpha: 0 , num_box: 41 , num_int: 0 , num_special: 0 , var_box: 2.80886508025e-07 , width: 0.540707964602 
avg_box: 0.0004213679941 , has_month: False , has_week: False , has_year: False , heigth: 0.130625 , label: 0 , mid_box: 0.000107853982301 , num_alpha: 0 , num_box: 6 , num_int: 0 , num_special: 0 , var_box: 4.08246658642e-07 , width: 0.20796460177 
avg_box: 7.54118018889e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.088125 , label: 0 , mid_box: 6.58185840708e-05 , num_alpha: 45 , num_box: 119 , num_int: 28 , num_special: 52 , var_box: 2.2381914569e-09 , width: 0.249557522124 
