avg_box: 0.000148583706371 , has_month: False , has_week: False , has_year: False , heigth: 0.0612244897959 , label: 0 , mid_box: 0.000110263986246 , num_alpha: 0 , num_box: 34 , num_int: 0 , num_special: 0 , var_box: 2.38205288845e-08 , width: 0.201655824956 
avg_box: 0.000106074129677 , has_month: False , has_week: False , has_year: False , heigth: 0.0482374768089 , label: 0 , mid_box: 0.00012068695012 , num_alpha: 48 , num_box: 69 , num_int: 0 , num_special: 7 , var_box: 4.43291184525e-09 , width: 0.420461265523 
avg_box: 0.00010681117778 , has_month: False , has_week: False , has_year: False , heigth: 0.0575139146568 , label: 0 , mid_box: 0.000128367028764 , num_alpha: 66 , num_box: 85 , num_int: 0 , num_special: 9 , var_box: 3.16101739663e-09 , width: 0.533412182141 
avg_box: 0.000639640835636 , has_month: False , has_week: False , has_year: False , heigth: 0.0677179962894 , label: 0 , mid_box: 0.000561194318058 , num_alpha: 5 , num_box: 3 , num_int: 0 , num_special: 1 , var_box: 1.68302502883e-07 , width: 0.0910703725606 
avg_box: 4.32461571264e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0547309833024 , label: 0 , mid_box: 3.5108930944e-05 , num_alpha: 0 , num_box: 12 , num_int: 0 , num_special: 0 , var_box: 3.51435638181e-10 , width: 0.0579538734477 
avg_box: 3.017173753e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0380333951763 , label: 0 , mid_box: 3.017173753e-05 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 6.77107744647e-11 , width: 0.0496747486694 
avg_box: 0.000361661885236 , has_month: False , has_week: False , has_year: False , heigth: 0.0575139146568 , label: 0 , mid_box: 0.000410335630408 , num_alpha: 14 , num_box: 22 , num_int: 1 , num_special: 5 , var_box: 3.73213631224e-08 , width: 0.299822590183 
avg_box: 0.000123325794876 , has_month: False , has_week: False , has_year: False , heigth: 0.155844155844 , label: 0 , mid_box: 4.5257606295e-05 , num_alpha: 0 , num_box: 58 , num_int: 0 , num_special: 0 , var_box: 9.28431819352e-08 , width: 0.118273211118 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0640074211503 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.0579538734477 
avg_box: 0.000125589289191 , has_month: False , has_week: False , has_year: False , heigth: 0.502782931354 , label: 0 , mid_box: 5.48577046e-05 , num_alpha: 76 , num_box: 362 , num_int: 0 , num_special: 19 , var_box: 9.24368851028e-08 , width: 0.395623891189 
avg_box: 5.02862292167e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0510204081633 , label: 0 , mid_box: 4.4434740726e-05 , num_alpha: 0 , num_box: 12 , num_int: 0 , num_special: 0 , var_box: 3.5055790592e-10 , width: 0.0555884092253 
avg_box: 6.95778553344e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0575139146568 , label: 0 , mid_box: 5.0743376755e-05 , num_alpha: 0 , num_box: 12 , num_int: 0 , num_special: 0 , var_box: 1.70419659973e-09 , width: 0.070372560615 
avg_box: 0.000302814529392 , has_month: True , has_week: True , has_year: True , heigth: 0.0779220779221 , label: 2 , mid_box: 0.000305557414622 , num_alpha: 9 , num_box: 40 , num_int: 12 , num_special: 11 , var_box: 6.91512384338e-08 , width: 0.424600827912 
avg_box: 0.000709858697524 , has_month: False , has_week: False , has_year: False , heigth: 0.100185528757 , label: 1 , mid_box: 0.0002194308184 , num_alpha: 27 , num_box: 56 , num_int: 1 , num_special: 17 , var_box: 5.73359038986e-07 , width: 0.81904198699 
avg_box: 0.00087031748348 , has_month: False , has_week: False , has_year: False , heigth: 0.100185528757 , label: 1 , mid_box: 0.00119041218982 , num_alpha: 30 , num_box: 46 , num_int: 0 , num_special: 15 , var_box: 4.92901462628e-07 , width: 0.885866351271 
avg_box: 0.000993911891943 , has_month: False , has_week: False , has_year: False , heigth: 0.0974025974026 , label: 1 , mid_box: 0.00120824094382 , num_alpha: 12 , num_box: 20 , num_int: 1 , num_special: 6 , var_box: 4.46374902578e-07 , width: 0.414547604967 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0510204081633 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.0555884092253 
