avg_box: 0.000318240543055 , has_month: False , has_week: False , has_year: False , heigth: 0.0489820600685 , label: 0 , mid_box: 0.000265468602649 , num_alpha: 5 , num_box: 5 , num_int: 0 , num_special: 0 , var_box: 2.59758493623e-08 , width: 0.115450399088 
avg_box: 5.79872010899e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0489820600685 , label: 0 , mid_box: 7.06767059001e-05 , num_alpha: 23 , num_box: 37 , num_int: 1 , num_special: 6 , var_box: 2.02242008632e-09 , width: 0.133979475485 
avg_box: 0.000102575554931 , has_month: True , has_week: True , has_year: True , heigth: 0.0816367667809 , label: 0 , mid_box: 0.000112048436183 , num_alpha: 64 , num_box: 120 , num_int: 13 , num_special: 18 , var_box: 5.30330016135e-09 , width: 0.535917901938 
avg_box: 7.79359122784e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.052207216287 , label: 0 , mid_box: 6.83782764399e-05 , num_alpha: 19 , num_box: 27 , num_int: 3 , num_special: 13 , var_box: 3.72273989379e-09 , width: 0.124857468643 
avg_box: 9.72336217939e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0751864543439 , label: 0 , mid_box: 7.46989574554e-05 , num_alpha: 53 , num_box: 80 , num_int: 0 , num_special: 13 , var_box: 9.05786027401e-09 , width: 0.341790193843 
avg_box: 1.35121131918e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.052207216287 , label: 0 , mid_box: 2.7581153522e-06 , num_alpha: 0 , num_box: 13 , num_int: 0 , num_special: 0 , var_box: 3.59385784182e-10 , width: 0.124857468643 
avg_box: 8.01104068167e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0620842572062 , label: 0 , mid_box: 2.64319387919e-05 , num_alpha: 0 , num_box: 17 , num_int: 0 , num_special: 0 , var_box: 1.7581821313e-08 , width: 0.143101482326 
avg_box: 0.000184490264083 , has_month: False , has_week: False , has_year: False , heigth: 0.04575690385 , label: 0 , mid_box: 0.000227688168398 , num_alpha: 20 , num_box: 32 , num_int: 0 , num_special: 4 , var_box: 1.45951913752e-08 , width: 0.457525655644 
avg_box: 0.000471147796841 , has_month: False , has_week: False , has_year: False , heigth: 0.0653094134247 , label: 1 , mid_box: 0.00029684216478 , num_alpha: 10 , num_box: 19 , num_int: 0 , num_special: 0 , var_box: 1.90338983001e-07 , width: 0.480615735462 
avg_box: 0.000727148720243 , has_month: False , has_week: False , has_year: False , heigth: 0.0620842572062 , label: 1 , mid_box: 0.000832606071945 , num_alpha: 13 , num_box: 17 , num_int: 0 , num_special: 1 , var_box: 1.89999943433e-07 , width: 0.480615735462 
avg_box: 0.000556940800418 , has_month: False , has_week: False , has_year: False , heigth: 0.0554323725055 , label: 1 , mid_box: 0.000820481856543 , num_alpha: 8 , num_box: 11 , num_int: 0 , num_special: 0 , var_box: 1.64611870047e-07 , width: 0.466647662486 
