avg_box: 9.14333647898e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0387878787879 , label: 0 , mid_box: 5.22875816993e-05 , num_alpha: 10 , num_box: 17 , num_int: 1 , num_special: 4 , var_box: 7.70310171198e-09 , width: 0.113725490196 
avg_box: 0.000202927672446 , has_month: False , has_week: False , has_year: False , heigth: 0.0521212121212 , label: 0 , mid_box: 0.000144503862151 , num_alpha: 5 , num_box: 11 , num_int: 0 , num_special: 7 , var_box: 2.02732515408e-08 , width: 0.126274509804 
avg_box: 5.04895502338e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0321212121212 , label: 0 , mid_box: 5.22875816993e-05 , num_alpha: 18 , num_box: 23 , num_int: 0 , num_special: 4 , var_box: 4.66221762952e-10 , width: 0.189803921569 
avg_box: 3.78490790255e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0321212121212 , label: 0 , mid_box: 3.70766488414e-05 , num_alpha: 17 , num_box: 24 , num_int: 0 , num_special: 3 , var_box: 2.51704419682e-10 , width: 0.134901960784 
avg_box: 6.64007016948e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0357575757576 , label: 0 , mid_box: 3.99286987522e-05 , num_alpha: 64 , num_box: 84 , num_int: 0 , num_special: 26 , var_box: 2.69784450188e-09 , width: 0.392941176471 
avg_box: 0.000151036414566 , has_month: False , has_week: False , has_year: False , heigth: 0.0418181818182 , label: 0 , mid_box: 0.000154486036839 , num_alpha: 23 , num_box: 35 , num_int: 0 , num_special: 5 , var_box: 7.55613635576e-09 , width: 0.472941176471 
avg_box: 0.000184099821747 , has_month: False , has_week: False , has_year: False , heigth: 0.0418181818182 , label: 0 , mid_box: 0.000184670231729 , num_alpha: 18 , num_box: 30 , num_int: 3 , num_special: 3 , var_box: 9.25919443994e-09 , width: 0.465098039216 
avg_box: 0.000305918917684 , has_month: True , has_week: True , has_year: False , heigth: 0.0521212121212 , label: 2 , mid_box: 0.000288057040998 , num_alpha: 15 , num_box: 26 , num_int: 2 , num_special: 3 , var_box: 3.69303668087e-08 , width: 0.472941176471 
avg_box: 0.00238975374662 , has_month: False , has_week: False , has_year: False , heigth: 0.0745454545455 , label: 1 , mid_box: 0.00259346405229 , num_alpha: 6 , num_box: 9 , num_int: 0 , num_special: 0 , var_box: 1.47168040477e-06 , width: 0.472941176471 
avg_box: 0.000849687183251 , has_month: False , has_week: False , has_year: False , heigth: 0.0684848484848 , label: 1 , mid_box: 0.000798573975045 , num_alpha: 9 , num_box: 17 , num_int: 0 , num_special: 7 , var_box: 6.09697398972e-07 , width: 0.460392156863 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0684848484848 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.109803921569 
avg_box: 4.18449197861e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0387878787879 , label: 0 , mid_box: 4.0404040404e-05 , num_alpha: 27 , num_box: 32 , num_int: 0 , num_special: 3 , var_box: 7.15730714223e-10 , width: 0.117647058824 
