avg_box: 0.000719373219373 , has_month: False , has_week: False , has_year: False , heigth: 0.0519230769231 , label: 0 , mid_box: 0.000897435897436 , num_alpha: 0 , num_box: 3 , num_int: 0 , num_special: 0 , var_box: 1.93007450731e-07 , width: 0.122222222222 
avg_box: 0.000270131556896 , has_month: False , has_week: False , has_year: False , heigth: 0.0480769230769 , label: 0 , mid_box: 0.000160256410256 , num_alpha: 38 , num_box: 51 , num_int: 5 , num_special: 25 , var_box: 4.44039262778e-07 , width: 0.740277777778 
avg_box: 0.000138159199048 , has_month: False , has_week: False , has_year: True , heigth: 0.0548076923077 , label: 0 , mid_box: 0.000128205128205 , num_alpha: 88 , num_box: 97 , num_int: 10 , num_special: 28 , var_box: 3.2760886821e-09 , width: 0.854166666667 
avg_box: 0.00017336329192 , has_month: False , has_week: False , has_year: True , heigth: 0.0586538461538 , label: 0 , mid_box: 0.000146901709402 , num_alpha: 89 , num_box: 97 , num_int: 14 , num_special: 43 , var_box: 6.56509522856e-09 , width: 0.872222222222 
avg_box: 0.000188667459333 , has_month: False , has_week: False , has_year: True , heigth: 0.075 , label: 0 , mid_box: 0.000161591880342 , num_alpha: 119 , num_box: 124 , num_int: 12 , num_special: 36 , var_box: 7.78993548457e-09 , width: 0.863888888889 
avg_box: 0.000149204911433 , has_month: False , has_week: False , has_year: True , heigth: 0.0586538461538 , label: 0 , mid_box: 0.000133547008547 , num_alpha: 54 , num_box: 69 , num_int: 11 , num_special: 30 , var_box: 3.15111946042e-09 , width: 0.881944444444 
avg_box: 0.000131134546457 , has_month: False , has_week: False , has_year: False , heigth: 0.0548076923077 , label: 0 , mid_box: 0.000124198717949 , num_alpha: 64 , num_box: 62 , num_int: 0 , num_special: 8 , var_box: 1.6016136059e-09 , width: 0.429166666667 
avg_box: 0.000142858202754 , has_month: False , has_week: False , has_year: False , heigth: 0.0846153846154 , label: 0 , mid_box: 0.00014155982906 , num_alpha: 63 , num_box: 72 , num_int: 4 , num_special: 21 , var_box: 2.66461734778e-09 , width: 0.415277777778 
avg_box: 0.000128240673036 , has_month: False , has_week: False , has_year: False , heigth: 0.110576923077 , label: 0 , mid_box: 0.000120192307692 , num_alpha: 321 , num_box: 263 , num_int: 0 , num_special: 60 , var_box: 1.80865803076e-09 , width: 0.8875 
avg_box: 0.000142049501425 , has_month: False , has_week: False , has_year: False , heigth: 0.0355769230769 , label: 0 , mid_box: 0.000133547008547 , num_alpha: 69 , num_box: 60 , num_int: 4 , num_special: 104 , var_box: 3.49710573638e-09 , width: 0.868055555556 
avg_box: 0.000118114909782 , has_month: False , has_week: False , has_year: False , heigth: 0.0317307692308 , label: 0 , mid_box: 0.000120192307692 , num_alpha: 12 , num_box: 9 , num_int: 0 , num_special: 3 , var_box: 1.69117973655e-09 , width: 0.145833333333 
avg_box: 0.000162482193732 , has_month: False , has_week: False , has_year: False , heigth: 0.0317307692308 , label: 0 , mid_box: 0.000173611111111 , num_alpha: 6 , num_box: 6 , num_int: 0 , num_special: 3 , var_box: 1.51100418473e-09 , width: 0.1125 
avg_box: 0.000171474358974 , has_month: False , has_week: False , has_year: False , heigth: 0.0355769230769 , label: 0 , mid_box: 0.000146901709402 , num_alpha: 22 , num_box: 20 , num_int: 1 , num_special: 13 , var_box: 4.57897878771e-09 , width: 0.311111111111 
avg_box: 0.000137067793318 , has_month: False , has_week: False , has_year: False , heigth: 0.0355769230769 , label: 0 , mid_box: 0.000128205128205 , num_alpha: 13 , num_box: 11 , num_int: 1 , num_special: 4 , var_box: 2.18663534514e-09 , width: 0.163888888889 
avg_box: 0.000161191239316 , has_month: False , has_week: False , has_year: False , heigth: 0.0355769230769 , label: 0 , mid_box: 0.000133547008547 , num_alpha: 13 , num_box: 10 , num_int: 2 , num_special: 11 , var_box: 5.12074661338e-09 , width: 0.169444444444 
avg_box: 0.000172381072874 , has_month: False , has_week: False , has_year: False , heigth: 0.0548076923077 , label: 0 , mid_box: 0.000133547008547 , num_alpha: 49 , num_box: 38 , num_int: 2 , num_special: 23 , var_box: 7.44935163421e-09 , width: 0.325 
avg_box: 0.000211538461538 , has_month: False , has_week: False , has_year: False , heigth: 0.0317307692308 , label: 0 , mid_box: 0.000146901709402 , num_alpha: 0 , num_box: 5 , num_int: 0 , num_special: 0 , var_box: 2.10026926273e-08 , width: 0.116666666667 
avg_box: 0.000208110754986 , has_month: False , has_week: False , has_year: False , heigth: 0.0355769230769 , label: 0 , mid_box: 0.000176949786325 , num_alpha: 0 , num_box: 6 , num_int: 0 , num_special: 0 , var_box: 1.15245032286e-08 , width: 0.136111111111 
avg_box: 0.000332828822412 , has_month: False , has_week: False , has_year: False , heigth: 0.0480769230769 , label: 0 , mid_box: 0.000317841880342 , num_alpha: 8 , num_box: 9 , num_int: 0 , num_special: 0 , var_box: 2.13878046033e-08 , width: 0.179166666667 
avg_box: 0.000221636669954 , has_month: False , has_week: False , has_year: False , heigth: 0.0384615384615 , label: 0 , mid_box: 0.000200320512821 , num_alpha: 18 , num_box: 26 , num_int: 6 , num_special: 9 , var_box: 1.17807768083e-08 , width: 0.494444444444 
avg_box: 0.000510594729345 , has_month: False , has_week: False , has_year: False , heigth: 0.0846153846154 , label: 0 , mid_box: 7.47863247863e-05 , num_alpha: 0 , num_box: 6 , num_int: 0 , num_special: 0 , var_box: 6.27729002365e-07 , width: 0.240277777778 
avg_box: 0.000178531264058 , has_month: False , has_week: False , has_year: True , heigth: 0.0384615384615 , label: 2 , mid_box: 0.000180288461538 , num_alpha: 6 , num_box: 19 , num_int: 9 , num_special: 8 , var_box: 3.90376676298e-09 , width: 0.315277777778 
avg_box: 0.000146806318681 , has_month: False , has_week: False , has_year: False , heigth: 0.0355769230769 , label: 0 , mid_box: 0.000146901709402 , num_alpha: 15 , num_box: 14 , num_int: 0 , num_special: 3 , var_box: 1.87302744162e-09 , width: 0.202777777778 
