avg_box: 9.10810134327e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0687001140251 , label: 0 , mid_box: 3.18971383382e-05 , num_alpha: 56 , num_box: 82 , num_int: 0 , num_special: 16 , var_box: 1.50802364777e-08 , width: 0.527016129032 
avg_box: 0.00103450178394 , has_month: False , has_week: False , has_year: False , heigth: 0.0718358038769 , label: 0 , mid_box: 0.00103450178394 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.235887096774 
avg_box: 2.64791813279e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0555872291904 , label: 0 , mid_box: 9.65534998345e-06 , num_alpha: 0 , num_box: 181 , num_int: 0 , num_special: 0 , var_box: 6.78653169206e-09 , width: 0.138709677419 
avg_box: 0.00104829514106 , has_month: False , has_week: False , has_year: False , heigth: 0.0521664766249 , label: 0 , mid_box: 0.00104829514106 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.133870967742 
avg_box: 5.35513525258e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0521664766249 , label: 0 , mid_box: 1.10346856954e-05 , num_alpha: 0 , num_box: 161 , num_int: 0 , num_special: 0 , var_box: 1.69869826902e-08 , width: 0.125 
avg_box: 3.42224204787e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0849486887115 , label: 0 , mid_box: 8.96568212749e-06 , num_alpha: 0 , num_box: 551 , num_int: 0 , num_special: 0 , var_box: 3.09126108698e-08 , width: 0.245161290323 
avg_box: 7.47306763729e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.111174458381 , label: 0 , mid_box: 6.89667855961e-06 , num_alpha: 0 , num_box: 69 , num_int: 0 , num_special: 0 , var_box: 1.84291495992e-07 , width: 0.208064516129 
avg_box: 5.60949013622e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0490307867731 , label: 0 , mid_box: 4.55180784934e-05 , num_alpha: 36 , num_box: 60 , num_int: 5 , num_special: 7 , var_box: 2.43454521646e-09 , width: 0.277419354839 
avg_box: 0.000704244926552 , has_month: False , has_week: False , has_year: False , heigth: 0.0555872291904 , label: 1 , mid_box: 0.000738634273734 , num_alpha: 9 , num_box: 11 , num_int: 0 , num_special: 1 , var_box: 1.11771847495e-07 , width: 0.3375 
avg_box: 0.000571711663663 , has_month: False , has_week: False , has_year: False , heigth: 0.0555872291904 , label: 1 , mid_box: 0.000700357707728 , num_alpha: 13 , num_box: 20 , num_int: 0 , num_special: 8 , var_box: 2.01906641074e-07 , width: 0.503629032258 
avg_box: 0.000175980247913 , has_month: True , has_week: True , has_year: False , heigth: 0.0718358038769 , label: 2 , mid_box: 0.000189601188068 , num_alpha: 7 , num_box: 36 , num_int: 10 , num_special: 6 , var_box: 2.32452965e-08 , width: 0.309677419355 
