avg_box: 0.000178144073694 , has_month: False , has_week: False , has_year: False , heigth: 0.0511316010059 , label: 0 , mid_box: 5.02933780386e-05 , num_alpha: 55 , num_box: 69 , num_int: 0 , num_special: 14 , var_box: 3.93398652022e-07 , width: 0.895714285714 
avg_box: 0.000120763980362 , has_month: False , has_week: False , has_year: False , heigth: 0.035205364627 , label: 0 , mid_box: 0.000131720752006 , num_alpha: 28 , num_box: 40 , num_int: 6 , num_special: 9 , var_box: 1.63133142291e-09 , width: 0.544285714286 
avg_box: 0.000176958181988 , has_month: False , has_week: False , has_year: False , heigth: 0.035205364627 , label: 0 , mid_box: 0.000118548676805 , num_alpha: 0 , num_box: 9 , num_int: 0 , num_special: 0 , var_box: 1.08020795228e-08 , width: 0.165714285714 
avg_box: 0.000102918654558 , has_month: False , has_week: False , has_year: False , heigth: 0.0477787091366 , label: 0 , mid_box: 0.000100586756077 , num_alpha: 13 , num_box: 19 , num_int: 4 , num_special: 8 , var_box: 1.99547569933e-09 , width: 0.204285714286 
avg_box: 0.000167872681344 , has_month: True , has_week: False , has_year: False , heigth: 0.0645431684828 , label: 0 , mid_box: 0.000134115674769 , num_alpha: 88 , num_box: 63 , num_int: 1 , num_special: 35 , var_box: 9.54289442174e-09 , width: 0.494285714286 
avg_box: 0.000147646988385 , has_month: True , has_week: False , has_year: False , heigth: 0.0477787091366 , label: 0 , mid_box: 0.000158663633098 , num_alpha: 9 , num_box: 10 , num_int: 5 , num_special: 6 , var_box: 6.96036078761e-10 , width: 0.165714285714 
avg_box: 0.000166222608071 , has_month: False , has_week: False , has_year: False , heigth: 0.0318524727578 , label: 0 , mid_box: 0.00012812836786 , num_alpha: 27 , num_box: 16 , num_int: 0 , num_special: 15 , var_box: 1.19242868064e-08 , width: 0.282857142857 
avg_box: 9.81348113428e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0511316010059 , label: 0 , mid_box: 0.000105376601605 , num_alpha: 125 , num_box: 105 , num_int: 0 , num_special: 18 , var_box: 1.26488621794e-09 , width: 0.701428571429 
avg_box: 0.000149323434319 , has_month: False , has_week: False , has_year: False , heigth: 0.035205364627 , label: 0 , mid_box: 0.000161657286553 , num_alpha: 5 , num_box: 10 , num_int: 3 , num_special: 9 , var_box: 6.79115896381e-10 , width: 0.188571428571 
avg_box: 0.000136510597533 , has_month: False , has_week: False , has_year: False , heigth: 0.0645431684828 , label: 0 , mid_box: 0.000118548676805 , num_alpha: 44 , num_box: 36 , num_int: 0 , num_special: 13 , var_box: 3.48353415877e-09 , width: 0.16 
avg_box: 0.000116982765767 , has_month: False , has_week: False , has_year: False , heigth: 0.035205364627 , label: 0 , mid_box: 0.000143695365824 , num_alpha: 4 , num_box: 13 , num_int: 9 , num_special: 5 , var_box: 2.09690796989e-09 , width: 0.192857142857 
avg_box: 9.37529678461e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0511316010059 , label: 0 , mid_box: 8.62172194947e-05 , num_alpha: 49 , num_box: 58 , num_int: 3 , num_special: 42 , var_box: 1.59495753628e-09 , width: 0.344285714286 
avg_box: 0.000167345228116 , has_month: False , has_week: False , has_year: False , heigth: 0.0318524727578 , label: 0 , mid_box: 0.00011495629266 , num_alpha: 14 , num_box: 8 , num_int: 0 , num_special: 1 , var_box: 2.27998561383e-08 , width: 0.142857142857 
avg_box: 9.93620796638e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0511316010059 , label: 0 , mid_box: 9.2803257095e-05 , num_alpha: 43 , num_box: 44 , num_int: 0 , num_special: 38 , var_box: 1.21911925679e-09 , width: 0.344285714286 
avg_box: 0.000142497904443 , has_month: False , has_week: False , has_year: False , heigth: 0.035205364627 , label: 0 , mid_box: 0.000150880134116 , num_alpha: 4 , num_box: 8 , num_int: 1 , num_special: 10 , var_box: 2.10785322877e-10 , width: 0.137142857143 
avg_box: 0.000106128988845 , has_month: False , has_week: False , has_year: False , heigth: 0.0511316010059 , label: 0 , mid_box: 0.000107771524368 , num_alpha: 88 , num_box: 113 , num_int: 7 , num_special: 29 , var_box: 1.21253764481e-09 , width: 0.767142857143 
avg_box: 0.000173512154233 , has_month: False , has_week: False , has_year: False , heigth: 0.0318524727578 , label: 0 , mid_box: 0.000118548676805 , num_alpha: 17 , num_box: 10 , num_int: 0 , num_special: 1 , var_box: 1.55956619004e-08 , width: 0.165714285714 
avg_box: 0.00013471440546 , has_month: False , has_week: False , has_year: False , heigth: 0.0318524727578 , label: 0 , mid_box: 0.000113160100587 , num_alpha: 13 , num_box: 12 , num_int: 1 , num_special: 1 , var_box: 6.12556009448e-09 , width: 0.148571428571 
avg_box: 0.00014356231456 , has_month: False , has_week: False , has_year: False , heigth: 0.0318524727578 , label: 0 , mid_box: 9.2204526404e-05 , num_alpha: 15 , num_box: 9 , num_int: 0 , num_special: 3 , var_box: 2.25581542628e-08 , width: 0.165714285714 
avg_box: 0.00014393148497 , has_month: True , has_week: False , has_year: False , heigth: 0.0678960603521 , label: 0 , mid_box: 0.000119746138187 , num_alpha: 108 , num_box: 71 , num_int: 0 , num_special: 25 , var_box: 7.56902970129e-09 , width: 0.377142857143 
avg_box: 0.000102695717914 , has_month: False , has_week: False , has_year: False , heigth: 0.0511316010059 , label: 0 , mid_box: 0.000105376601605 , num_alpha: 70 , num_box: 67 , num_int: 2 , num_special: 51 , var_box: 1.05900264994e-09 , width: 0.361428571429 
avg_box: 0.000129325829242 , has_month: False , has_week: False , has_year: False , heigth: 0.0318524727578 , label: 0 , mid_box: 0.000129325829242 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.137142857143 
avg_box: 0.000107685991412 , has_month: False , has_week: False , has_year: False , heigth: 0.0477787091366 , label: 0 , mid_box: 0.000105376601605 , num_alpha: 37 , num_box: 42 , num_int: 0 , num_special: 24 , var_box: 2.22648520621e-09 , width: 0.227142857143 
avg_box: 0.00016670113904 , has_month: False , has_week: False , has_year: False , heigth: 0.0419111483655 , label: 0 , mid_box: 0.000124535983715 , num_alpha: 25 , num_box: 33 , num_int: 0 , num_special: 5 , var_box: 1.22856651334e-08 , width: 0.5 
