avg_box: 0.000366936054639 , has_month: False , has_week: False , has_year: False , heigth: 0.0620842572062 , label: 0 , mid_box: 0.000285982085581 , num_alpha: 0 , num_box: 7 , num_int: 0 , num_special: 0 , var_box: 3.21644196174e-08 , width: 0.203249714937 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0979641201371 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.23574686431 
avg_box: 5.47365752235e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0326547067124 , label: 0 , mid_box: 7.24005279952e-05 , num_alpha: 13 , num_box: 22 , num_int: 1 , num_special: 11 , var_box: 1.55060449324e-09 , width: 0.138540478905 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.101189276356 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.161630558723 
avg_box: 0.000103845664026 , has_month: True , has_week: True , has_year: True , heigth: 0.0979641201371 , label: 2 , mid_box: 0.000114289404907 , num_alpha: 63 , num_box: 114 , num_int: 12 , num_special: 19 , var_box: 5.61365143414e-09 , width: 0.591505131129 
avg_box: 0.000111627928066 , has_month: True , has_week: False , has_year: False , heigth: 0.052207216287 , label: 2 , mid_box: 0.000112335739866 , num_alpha: 12 , num_box: 22 , num_int: 4 , num_special: 8 , var_box: 7.48349005811e-09 , width: 0.133979475485 
avg_box: 0.000227601977293 , has_month: False , has_week: False , has_year: False , heigth: 0.052207216287 , label: 0 , mid_box: 5.05654481236e-06 , num_alpha: 0 , num_box: 5 , num_int: 0 , num_special: 0 , var_box: 1.96561560943e-07 , width: 0.129418472064 
avg_box: 0.000149947622623 , has_month: False , has_week: False , has_year: False , heigth: 0.101189276356 , label: 0 , mid_box: 7.12513132651e-05 , num_alpha: 73 , num_box: 120 , num_int: 0 , num_special: 18 , var_box: 3.98924706016e-07 , width: 0.499144811859 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0588591009877 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.198688711517 
avg_box: 0.000298868961668 , has_month: False , has_week: False , has_year: False , heigth: 0.0489820600685 , label: 0 , mid_box: 0.000128712049769 , num_alpha: 5 , num_box: 11 , num_int: 0 , num_special: 4 , var_box: 9.58485530431e-08 , width: 0.157069555302 
avg_box: 0.000552915937011 , has_month: False , has_week: False , has_year: False , heigth: 0.0489820600685 , label: 0 , mid_box: 0.000631637146022 , num_alpha: 9 , num_box: 12 , num_int: 0 , num_special: 1 , var_box: 8.97415296954e-08 , width: 0.355758266819 
avg_box: 0.000518975795316 , has_month: False , has_week: False , has_year: False , heigth: 0.0588591009877 , label: 1 , mid_box: 0.000616553702689 , num_alpha: 18 , num_box: 24 , num_int: 0 , num_special: 1 , var_box: 1.13523154327e-07 , width: 0.586944127708 
