avg_box: 8.29127663736e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0517435320585 , label: 0 , mid_box: 6.04041439927e-05 , num_alpha: 19 , num_box: 72 , num_int: 23 , num_special: 32 , var_box: 6.70843395626e-09 , width: 0.313444709626 
avg_box: 8.80308455088e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0517435320585 , label: 0 , mid_box: 9.35145636628e-05 , num_alpha: 7 , num_box: 43 , num_int: 17 , num_special: 43 , var_box: 3.10655946054e-09 , width: 0.221161495625 
avg_box: 6.77986473899e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0320584926884 , label: 0 , mid_box: 6.04041439927e-05 , num_alpha: 0 , num_box: 19 , num_int: 0 , num_special: 0 , var_box: 2.89971697099e-09 , width: 0.119331742243 
avg_box: 8.01602571847e-05 , has_month: False , has_week: True , has_year: False , heigth: 0.0517435320585 , label: 0 , mid_box: 5.81669534745e-05 , num_alpha: 21 , num_box: 39 , num_int: 5 , num_special: 33 , var_box: 4.71555703796e-09 , width: 0.165473349244 
avg_box: 3.59069078179e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0354330708661 , label: 0 , mid_box: 3.22155434628e-05 , num_alpha: 4 , num_box: 20 , num_int: 2 , num_special: 13 , var_box: 3.18076618452e-10 , width: 0.151949085123 
avg_box: 0.000205989316968 , has_month: False , has_week: False , has_year: False , heigth: 0.044994375703 , label: 0 , mid_box: 0.000184344498704 , num_alpha: 18 , num_box: 24 , num_int: 1 , num_special: 7 , var_box: 2.57071715816e-08 , width: 0.392203659507 
avg_box: 0.000201162907423 , has_month: False , has_week: False , has_year: False , heigth: 0.044994375703 , label: 0 , mid_box: 7.87491062424e-05 , num_alpha: 0 , num_box: 17 , num_int: 8 , num_special: 3 , var_box: 2.68753176708e-08 , width: 0.211614956245 
avg_box: 4.1466984253e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0748031496063 , label: 0 , mid_box: 4.07168674321e-05 , num_alpha: 24 , num_box: 102 , num_int: 8 , num_special: 37 , var_box: 3.11136319203e-10 , width: 0.304693715195 
avg_box: 4.52210776756e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0320584926884 , label: 0 , mid_box: 4.65335627796e-05 , num_alpha: 14 , num_box: 15 , num_int: 4 , num_special: 11 , var_box: 5.51365616013e-10 , width: 0.110580747812 
avg_box: 0.000919541232764 , has_month: False , has_week: False , has_year: False , heigth: 0.0646794150731 , label: 2 , mid_box: 0.000642521116841 , num_alpha: 6 , num_box: 8 , num_int: 0 , num_special: 0 , var_box: 4.83668324415e-07 , width: 0.211614956245 
avg_box: 0.00132978604405 , has_month: False , has_week: False , has_year: False , heigth: 0.0646794150731 , label: 0 , mid_box: 0.0017897524146 , num_alpha: 4 , num_box: 5 , num_int: 1 , num_special: 0 , var_box: 3.30815098656e-07 , width: 0.207637231504 
