avg_box: 0.000104026147922 , has_month: False , has_week: False , has_year: False , heigth: 0.0549222797927 , label: 0 , mid_box: 8.14211695041e-05 , num_alpha: 50 , num_box: 89 , num_int: 18 , num_special: 83 , var_box: 3.10276501152e-09 , width: 0.567142857143 
avg_box: 0.000145501516669 , has_month: False , has_week: False , has_year: False , heigth: 0.117098445596 , label: 0 , mid_box: 0.000115470022206 , num_alpha: 361 , num_box: 255 , num_int: 12 , num_special: 341 , var_box: 9.74124763942e-09 , width: 0.895714285714 
avg_box: 9.47446336047e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0518134715026 , label: 0 , mid_box: 7.10584752036e-05 , num_alpha: 41 , num_box: 33 , num_int: 0 , num_special: 13 , var_box: 2.42928827781e-09 , width: 0.178571428571 
avg_box: 0.000124973138177 , has_month: True , has_week: True , has_year: False , heigth: 0.113989637306 , label: 0 , mid_box: 0.000106587712805 , num_alpha: 371 , num_box: 248 , num_int: 7 , num_special: 215 , var_box: 6.63897173867e-09 , width: 0.872857142857 
avg_box: 0.0001705826372 , has_month: False , has_week: False , has_year: False , heigth: 0.0518134715026 , label: 0 , mid_box: 0.000142116950407 , num_alpha: 38 , num_box: 35 , num_int: 0 , num_special: 37 , var_box: 1.08076814665e-08 , width: 0.26 
avg_box: 9.06324533268e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0352331606218 , label: 0 , mid_box: 7.40192450037e-05 , num_alpha: 8 , num_box: 9 , num_int: 0 , num_special: 1 , var_box: 1.34403597328e-09 , width: 0.115714285714 
avg_box: 0.000166027409551 , has_month: False , has_week: False , has_year: False , heigth: 0.0352331606218 , label: 0 , mid_box: 0.000130273871207 , num_alpha: 37 , num_box: 33 , num_int: 0 , num_special: 12 , var_box: 9.18243358431e-09 , width: 0.531428571429 
avg_box: 0.000104778353483 , has_month: False , has_week: False , has_year: False , heigth: 0.0352331606218 , label: 0 , mid_box: 9.32642487047e-05 , num_alpha: 23 , num_box: 27 , num_int: 0 , num_special: 8 , var_box: 1.87195347692e-09 , width: 0.295714285714 
avg_box: 0.000179972507138 , has_month: False , has_week: False , has_year: False , heigth: 0.0383419689119 , label: 0 , mid_box: 0.000106587712805 , num_alpha: 7 , num_box: 7 , num_int: 0 , num_special: 3 , var_box: 2.12816370943e-08 , width: 0.134285714286 
avg_box: 8.56881612749e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0352331606218 , label: 0 , mid_box: 8.88230940044e-05 , num_alpha: 13 , num_box: 17 , num_int: 0 , num_special: 6 , var_box: 7.4535090925e-10 , width: 0.17 
avg_box: 0.000492854295963 , has_month: False , has_week: False , has_year: False , heigth: 0.132642487047 , label: 0 , mid_box: 0.000106587712805 , num_alpha: 0 , num_box: 26 , num_int: 0 , num_special: 0 , var_box: 2.3760240734e-06 , width: 0.418571428571 
