avg_box: 3.88045922489e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0325550067355 , label: 0 , mid_box: 2.5162711378e-05 , num_alpha: 20 , num_box: 31 , num_int: 0 , num_special: 4 , var_box: 8.71502782297e-10 , width: 0.179452968646 
avg_box: 4.06883880882e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0554557700943 , label: 0 , mid_box: 3.69202878255e-05 , num_alpha: 11 , num_box: 19 , num_int: 1 , num_special: 2 , var_box: 7.50303712281e-10 , width: 0.140760507005 
avg_box: 9.57526354196e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0913785361473 , label: 0 , mid_box: 4.96514215584e-05 , num_alpha: 163 , num_box: 224 , num_int: 0 , num_special: 141 , var_box: 5.24509515455e-07 , width: 0.631087391594 
avg_box: 4.55555681267e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.035922766053 , label: 0 , mid_box: 3.81934011988e-05 , num_alpha: 0 , num_box: 13 , num_int: 6 , num_special: 3 , var_box: 1.17512031527e-09 , width: 0.116410940627 
avg_box: 5.82707913714e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0325550067355 , label: 0 , mid_box: 5.68782121774e-05 , num_alpha: 30 , num_box: 42 , num_int: 0 , num_special: 7 , var_box: 6.90659991179e-09 , width: 0.276517678452 
avg_box: 4.64196722262e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0325550067355 , label: 0 , mid_box: 5.45566524967e-05 , num_alpha: 18 , num_box: 26 , num_int: 0 , num_special: 3 , var_box: 8.57196703692e-10 , width: 0.169779853235 
avg_box: 5.46888889679e-05 , has_month: True , has_week: False , has_year: False , heigth: 0.0978895374944 , label: 0 , mid_box: 5.27218714587e-05 , num_alpha: 159 , num_box: 222 , num_int: 7 , num_special: 46 , var_box: 9.57140553939e-09 , width: 0.373582388259 
avg_box: 6.80963705971e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0554557700943 , label: 0 , mid_box: 3.98409596818e-05 , num_alpha: 118 , num_box: 138 , num_int: 1 , num_special: 39 , var_box: 1.26326098414e-07 , width: 0.427284856571 
avg_box: 4.60227080399e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0458015267176 , label: 0 , mid_box: 5.45566524967e-05 , num_alpha: 14 , num_box: 22 , num_int: 0 , num_special: 3 , var_box: 1.08914140328e-09 , width: 0.20880587058 
avg_box: 7.01460505677e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0390660080826 , label: 0 , mid_box: 5.45566524967e-05 , num_alpha: 13 , num_box: 18 , num_int: 0 , num_special: 1 , var_box: 6.7488984191e-09 , width: 0.135757171448 
avg_box: 8.42043841897e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0424337674001 , label: 0 , mid_box: 4.25369644723e-05 , num_alpha: 2 , num_box: 18 , num_int: 7 , num_special: 5 , var_box: 1.89018466597e-08 , width: 0.140760507005 
avg_box: 6.10468074633e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0325550067355 , label: 0 , mid_box: 4.96514215584e-05 , num_alpha: 43 , num_box: 55 , num_int: 1 , num_special: 8 , var_box: 1.76167145282e-08 , width: 0.30086724483 
avg_box: 5.32848303134e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0325550067355 , label: 0 , mid_box: 1.84975884237e-05 , num_alpha: 29 , num_box: 29 , num_int: 0 , num_special: 7 , var_box: 8.64363111008e-09 , width: 0.135757171448 
avg_box: 3.5994109309e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.035922766053 , label: 0 , mid_box: 2.06693700605e-05 , num_alpha: 51 , num_box: 49 , num_int: 0 , num_special: 11 , var_box: 7.62931313166e-10 , width: 0.223148765844 
