avg_box: 0.000891742464776 , has_month: False , has_week: False , has_year: False , heigth: 0.0486891385768 , label: 0 , mid_box: 0.000891742464776 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.121693121693 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0449438202247 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.169312169312 
avg_box: 0.00194201692329 , has_month: False , has_week: False , has_year: False , heigth: 0.0524344569288 , label: 0 , mid_box: 0.00194201692329 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 7.69679536805e-08 , width: 0.253968253968 
avg_box: 0.000909577314072 , has_month: False , has_week: False , has_year: False , heigth: 0.0486891385768 , label: 0 , mid_box: 0.000842201216733 , num_alpha: 8 , num_box: 10 , num_int: 0 , num_special: 5 , var_box: 2.26544961624e-08 , width: 0.555555555556 
avg_box: 0.00158531993738 , has_month: False , has_week: False , has_year: False , heigth: 0.0711610486891 , label: 0 , mid_box: 0.00158531993738 , num_alpha: 2 , num_box: 8 , num_int: 3 , num_special: 3 , var_box: 1.57077456491e-07 , width: 0.380952380952 
avg_box: 0.00511595954792 , has_month: False , has_week: False , has_year: False , heigth: 0.138576779026 , label: 0 , mid_box: 0.00535045478866 , num_alpha: 5 , num_box: 12 , num_int: 1 , num_special: 13 , var_box: 6.88489035666e-06 , width: 0.603174603175 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.059925093633 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.222222222222 
avg_box: 0.0 , has_month: False , has_week: False , has_year: False , heigth: 0.0486891385768 , label: 0 , mid_box: 0.0 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.21164021164 
avg_box: 0.00377107980104 , has_month: False , has_week: False , has_year: False , heigth: 0.194756554307 , label: 0 , mid_box: 0.00312109862672 , num_alpha: 0 , num_box: 10 , num_int: 0 , num_special: 0 , var_box: 7.04406392454e-06 , width: 0.365079365079 
avg_box: 0.00253041451543 , has_month: False , has_week: False , has_year: False , heigth: 0.191011235955 , label: 0 , mid_box: 0.00180330142877 , num_alpha: 0 , num_box: 13 , num_int: 0 , num_special: 0 , var_box: 2.3583600023e-06 , width: 0.343915343915 
avg_box: 0.00110972395617 , has_month: False , has_week: False , has_year: False , heigth: 0.0861423220974 , label: 0 , mid_box: 0.00110972395617 , num_alpha: 0 , num_box: 2 , num_int: 0 , num_special: 0 , var_box: 1.92419884201e-08 , width: 0.465608465608 
avg_box: 0.00239779640529 , has_month: False , has_week: False , has_year: False , heigth: 0.0711610486891 , label: 0 , mid_box: 0.00239779640529 , num_alpha: 9 , num_box: 1 , num_int: 0 , num_special: 3 , var_box: 0.0 , width: 0.402116402116 
avg_box: 0.00166458593425 , has_month: False , has_week: False , has_year: False , heigth: 0.0449438202247 , label: 0 , mid_box: 0.00166458593425 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.232804232804 
