avg_box: 4.31329072649e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0620588235294 , label: 0 , mid_box: 5.05347593583e-05 , num_alpha: 81 , num_box: 123 , num_int: 1 , num_special: 28 , var_box: 6.91988998703e-10 , width: 0.277727272727 
avg_box: 0.000143672679384 , has_month: True , has_week: False , has_year: False , heigth: 0.130588235294 , label: 0 , mid_box: 0.000100802139037 , num_alpha: 40 , num_box: 67 , num_int: 0 , num_special: 15 , var_box: 1.07521251972e-07 , width: 0.484545454545 
avg_box: 0.000122754010695 , has_month: False , has_week: False , has_year: False , heigth: 0.0426470588235 , label: 0 , mid_box: 0.000122593582888 , num_alpha: 7 , num_box: 10 , num_int: 0 , num_special: 3 , var_box: 8.8108210129e-09 , width: 0.121363636364 
avg_box: 0.000171067945895 , has_month: False , has_week: False , has_year: False , heigth: 0.130588235294 , label: 0 , mid_box: 0.000201203208556 , num_alpha: 49 , num_box: 68 , num_int: 0 , num_special: 10 , var_box: 1.53572056864e-08 , width: 0.257727272727 
avg_box: 0.000144855726381 , has_month: False , has_week: False , has_year: False , heigth: 0.0979411764706 , label: 0 , mid_box: 9.6256684492e-05 , num_alpha: 64 , num_box: 96 , num_int: 0 , num_special: 17 , var_box: 5.0195645004e-08 , width: 0.444545454545 
avg_box: 7.98207919531e-05 , has_month: True , has_week: False , has_year: False , heigth: 0.120882352941 , label: 0 , mid_box: 9.69251336898e-05 , num_alpha: 113 , num_box: 168 , num_int: 1 , num_special: 45 , var_box: 3.52507622874e-09 , width: 0.318181818182 
avg_box: 0.000160821962014 , has_month: False , has_week: False , has_year: False , heigth: 0.101176470588 , label: 0 , mid_box: 0.000207219251337 , num_alpha: 41 , num_box: 58 , num_int: 1 , num_special: 8 , var_box: 1.26246815051e-08 , width: 0.287727272727 
avg_box: 0.000856576094811 , has_month: True , has_week: False , has_year: False , heigth: 0.120882352941 , label: 2 , mid_box: 0.000487700534759 , num_alpha: 21 , num_box: 37 , num_int: 5 , num_special: 9 , var_box: 1.04283978149e-06 , width: 0.620909090909 
avg_box: 0.000513273491215 , has_month: False , has_week: False , has_year: False , heigth: 0.0720588235294 , label: 0 , mid_box: 0.000386363636364 , num_alpha: 0 , num_box: 14 , num_int: 0 , num_special: 0 , var_box: 2.33076345755e-07 , width: 0.196818181818 
avg_box: 4.67914438503e-06 , has_month: False , has_week: False , has_year: False , heigth: 0.0491176470588 , label: 0 , mid_box: 4.67914438503e-06 , num_alpha: 0 , num_box: 1 , num_int: 0 , num_special: 0 , var_box: 0.0 , width: 0.121363636364 
avg_box: 0.0015931044188 , has_month: False , has_week: False , has_year: False , heigth: 0.156764705882 , label: 1 , mid_box: 0.000897860962567 , num_alpha: 0 , num_box: 19 , num_int: 0 , num_special: 0 , var_box: 2.34335824195e-06 , width: 0.429090909091 
avg_box: 4.27807486631e-05 , has_month: True , has_week: False , has_year: False , heigth: 0.0882352941176 , label: 0 , mid_box: 5.29411764706e-05 , num_alpha: 36 , num_box: 51 , num_int: 0 , num_special: 6 , var_box: 7.24903261656e-10 , width: 0.181818181818 
avg_box: 9.20958453311e-05 , has_month: True , has_week: False , has_year: False , heigth: 0.147058823529 , label: 0 , mid_box: 4.77272727273e-05 , num_alpha: 156 , num_box: 260 , num_int: 9 , num_special: 91 , var_box: 8.9496209834e-08 , width: 0.848181818182 
avg_box: 0.000861489462095 , has_month: False , has_week: False , has_year: False , heigth: 0.137352941176 , label: 0 , mid_box: 0.000186096256684 , num_alpha: 19 , num_box: 34 , num_int: 0 , num_special: 2 , var_box: 1.40082604129e-05 , width: 0.833181818182 
avg_box: 0.000155937672875 , has_month: False , has_week: False , has_year: False , heigth: 0.0979411764706 , label: 0 , mid_box: 0.000196524064171 , num_alpha: 40 , num_box: 58 , num_int: 1 , num_special: 7 , var_box: 1.3190008339e-08 , width: 0.287727272727 
avg_box: 0.000111124401914 , has_month: False , has_week: False , has_year: False , heigth: 0.0785294117647 , label: 0 , mid_box: 4.77272727273e-05 , num_alpha: 12 , num_box: 19 , num_int: 0 , num_special: 4 , var_box: 1.18169807148e-08 , width: 0.136363636364 
avg_box: 0.000157871495706 , has_month: False , has_week: False , has_year: False , heigth: 0.0979411764706 , label: 0 , mid_box: 0.00020307486631 , num_alpha: 44 , num_box: 66 , num_int: 1 , num_special: 7 , var_box: 1.21020417408e-08 , width: 0.318181818182 
avg_box: 0.000461976381462 , has_month: False , has_week: False , has_year: False , heigth: 0.0979411764706 , label: 1 , mid_box: 0.000132352941176 , num_alpha: 15 , num_box: 36 , num_int: 0 , num_special: 3 , var_box: 2.84630567009e-07 , width: 0.651363636364 
avg_box: 0.000511034678334 , has_month: True , has_week: False , has_year: False , heigth: 0.284117647059 , label: 1 , mid_box: 1.52406417112e-05 , num_alpha: 36 , num_box: 165 , num_int: 11 , num_special: 110 , var_box: 5.07617322453e-06 , width: 0.848181818182 
