avg_box: 5.74667165439e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0423572744015 , label: 0 , mid_box: 1.5730509515e-05 , num_alpha: 0 , num_box: 48 , num_int: 0 , num_special: 0 , var_box: 1.49527733497e-08 , width: 0.143229166667 
avg_box: 3.41792916131e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0523020257827 , label: 0 , mid_box: 1.15101289134e-05 , num_alpha: 18 , num_box: 53 , num_int: 6 , num_special: 49 , var_box: 6.82762423035e-09 , width: 0.138541666667 
avg_box: 6.65948882239e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.104604051565 , label: 0 , mid_box: 1.34284837324e-05 , num_alpha: 0 , num_box: 144 , num_int: 0 , num_special: 0 , var_box: 4.62844679753e-08 , width: 0.2125 
avg_box: 0.000106050142307 , has_month: False , has_week: False , has_year: False , heigth: 0.0423572744015 , label: 0 , mid_box: 1.53468385513e-05 , num_alpha: 0 , num_box: 33 , num_int: 0 , num_special: 0 , var_box: 4.13619685797e-08 , width: 0.138541666667 
avg_box: 5.37807866882e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0685082872928 , label: 0 , mid_box: 1.87998772253e-05 , num_alpha: 0 , num_box: 66 , num_int: 0 , num_special: 0 , var_box: 2.34402408521e-08 , width: 0.124479166667 
avg_box: 9.11185613289e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.274401473297 , label: 0 , mid_box: 1.45794966237e-05 , num_alpha: 160 , num_box: 1107 , num_int: 65 , num_special: 943 , var_box: 1.91995525993e-07 , width: 1.00260416667 
avg_box: 0.000240082105586 , has_month: False , has_week: False , has_year: False , heigth: 0.0618784530387 , label: 0 , mid_box: 0.000101193216697 , num_alpha: 26 , num_box: 30 , num_int: 0 , num_special: 15 , var_box: 8.24397913476e-08 , width: 0.351041666667 
avg_box: 3.61559400342e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0589318600368 , label: 0 , mid_box: 2.78161448742e-05 , num_alpha: 0 , num_box: 19 , num_int: 0 , num_special: 0 , var_box: 7.7725479266e-10 , width: 0.138541666667 
avg_box: 0.000176392725599 , has_month: False , has_week: False , has_year: False , heigth: 0.0456721915285 , label: 0 , mid_box: 7.9036218539e-05 , num_alpha: 0 , num_box: 6 , num_int: 0 , num_special: 0 , var_box: 6.48317146248e-08 , width: 0.2078125 
avg_box: 1.93860411977e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0618784530387 , label: 0 , mid_box: 1.53468385513e-05 , num_alpha: 0 , num_box: 18 , num_int: 0 , num_special: 0 , var_box: 1.48272564069e-10 , width: 0.170833333333 
avg_box: 9.02585942296e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.075138121547 , label: 0 , mid_box: 1.72651933702e-05 , num_alpha: 0 , num_box: 24 , num_int: 0 , num_special: 0 , var_box: 6.82485234733e-08 , width: 0.494270833333 
avg_box: 0.000393198792715 , has_month: False , has_week: False , has_year: False , heigth: 0.0718232044199 , label: 0 , mid_box: 3.84630141191e-05 , num_alpha: 0 , num_box: 12 , num_int: 0 , num_special: 0 , var_box: 1.22681755796e-06 , width: 0.3 
avg_box: 5.76225828729e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0589318600368 , label: 0 , mid_box: 3.44344689994e-05 , num_alpha: 0 , num_box: 8 , num_int: 0 , num_special: 0 , var_box: 2.64511587183e-09 , width: 0.152604166667 
