avg_box: 0.000120743884155 , has_month: False , has_week: False , has_year: False , heigth: 0.143787753168 , label: 0 , mid_box: 1.66651092725e-06 , num_alpha: 0 , num_box: 215 , num_int: 0 , num_special: 0 , var_box: 2.89361776471e-07 , width: 0.235845896147 
avg_box: 0.000174114680949 , has_month: False , has_week: False , has_year: False , heigth: 0.0588653322279 , label: 0 , mid_box: 7.49929917264e-06 , num_alpha: 0 , num_box: 10 , num_int: 0 , num_special: 0 , var_box: 2.05608569236e-07 , width: 0.138693467337 
avg_box: 6.4098100234e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0360061589482 , label: 0 , mid_box: 4.90231964433e-05 , num_alpha: 5 , num_box: 26 , num_int: 8 , num_special: 7 , var_box: 2.12952983743e-09 , width: 0.240368509213 
avg_box: 5.52574162723e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0393225156935 , label: 0 , mid_box: 6.02324663707e-05 , num_alpha: 32 , num_box: 47 , num_int: 0 , num_special: 5 , var_box: 9.27059168091e-10 , width: 0.337353433836 
avg_box: 3.47560965581e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0393225156935 , label: 0 , mid_box: 2.81818901448e-05 , num_alpha: 45 , num_box: 62 , num_int: 0 , num_special: 19 , var_box: 8.96921468359e-10 , width: 0.235845896147 
avg_box: 6.05014006738e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0328082435153 , label: 0 , mid_box: 3.85479849006e-05 , num_alpha: 1 , num_box: 18 , num_int: 8 , num_special: 6 , var_box: 2.02859390371e-09 , width: 0.147906197655 
avg_box: 5.80484421717e-05 , has_month: True , has_week: False , has_year: False , heigth: 0.0360061589482 , label: 0 , mid_box: 7.85640865705e-05 , num_alpha: 32 , num_box: 47 , num_int: 0 , num_special: 6 , var_box: 1.56503455048e-09 , width: 0.369681742044 
avg_box: 4.77668718791e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.065379604406 , label: 0 , mid_box: 2.88762696978e-05 , num_alpha: 73 , num_box: 154 , num_int: 2 , num_special: 16 , var_box: 1.59938422554e-09 , width: 0.346733668342 
avg_box: 6.21703293076e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0393225156935 , label: 0 , mid_box: 3.98772257593e-05 , num_alpha: 7 , num_box: 31 , num_int: 8 , num_special: 7 , var_box: 1.81793703973e-09 , width: 0.254271356784 
avg_box: 5.47362561213e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0491531446168 , label: 0 , mid_box: 6.02324663707e-05 , num_alpha: 58 , num_box: 86 , num_int: 0 , num_special: 16 , var_box: 1.35549031326e-09 , width: 0.337353433836 
avg_box: 6.33268838227e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0686959611512 , label: 0 , mid_box: 6.34067728988e-05 , num_alpha: 72 , num_box: 112 , num_int: 0 , num_special: 25 , var_box: 1.16842920308e-09 , width: 0.231155778894 
avg_box: 6.16688400747e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0393225156935 , label: 0 , mid_box: 6.15021889819e-05 , num_alpha: 23 , num_box: 35 , num_int: 0 , num_special: 5 , var_box: 1.11978633714e-09 , width: 0.263484087102 
avg_box: 6.060197549e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0720123178965 , label: 0 , mid_box: 6.02324663707e-05 , num_alpha: 59 , num_box: 104 , num_int: 4 , num_special: 22 , var_box: 1.44630117431e-09 , width: 0.365159128978 
avg_box: 6.25462959112e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0720123178965 , label: 0 , mid_box: 6.19188167138e-05 , num_alpha: 47 , num_box: 86 , num_int: 4 , num_special: 18 , var_box: 1.16968777948e-09 , width: 0.314237855946 
avg_box: 7.26221815382e-05 , has_month: False , has_week: False , has_year: False , heigth: 0.0328082435153 , label: 0 , mid_box: 7.73042836671e-05 , num_alpha: 4 , num_box: 14 , num_int: 4 , num_special: 3 , var_box: 1.95068407336e-09 , width: 0.138693467337 
avg_box: 9.03177352342e-05 , has_month: True , has_week: True , has_year: True , heigth: 0.0817245055075 , label: 2 , mid_box: 9.59434148118e-05 , num_alpha: 53 , num_box: 107 , num_int: 9 , num_special: 23 , var_box: 4.07483352444e-09 , width: 0.674706867672 
avg_box: 9.5559852773e-05 , has_month: False , has_week: True , has_year: True , heigth: 0.055667416795 , label: 0 , mid_box: 9.92962760821e-05 , num_alpha: 13 , num_box: 27 , num_int: 4 , num_special: 10 , var_box: 2.9825822182e-09 , width: 0.14338358459 
